Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,116874912,1497.1849965426325,2785640,35.684462494132354,326990,2597381,33.27283671884091,60152,0.7705560617836649,6573,
United States of America,Americas,28700966,8670.92,406157,122.71,41486,521625,157.59,11980,3.62,874,Community transmission
India,South-East Asia,11244786,814.84,120259,8.71,15388,157930,11.44,682,0.05,77,Clusters of cases
Brazil,Americas,11019344,5184.12,468085,220.21,80508,265411,124.86,10469,4.93,1086,Community transmission
Russian Federation,Europe,4342474,2975.63,74259,50.89,9445,89809,61.54,2913,2,336,Clusters of cases
The United Kingdom,Europe,4223236,6221.07,41223,60.72,4712,124566,183.49,1613,2.38,65,Community transmission
France,Europe,3841709,5885.56,146585,224.57,5229,88457,135.52,2096,3.21,358,Community transmission
Spain,Europe,3160970,6760.74,29499,63.09,1161,71436,152.79,431,0.92,12,Community transmission
Italy,Europe,3081368,5096.39,142997,236.51,13882,100103,165.56,2158,3.57,318,Clusters of cases
Turkey,Europe,2793632,3312.38,82153,97.41,13215,29094,34.5,456,0.54,64,Community transmission
Germany,Europe,2509445,2995.14,58434,69.74,4252,72189,86.16,1726,2.06,255,Community transmission
Colombia,Americas,2276656,4474.31,24966,49.07,3411,60503,118.91,737,1.45,91,Community transmission
Argentina,Americas,2154694,4767.47,42671,94.41,5058,53121,117.54,1044,2.31,241,Community transmission
Mexico,Americas,2128600,1650.94,41662,32.31,2734,190604,147.83,4889,3.79,247,Community transmission
Poland,Europe,1811036,4785.2,91328,241.31,9953,45599,120.48,1591,4.2,282,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1698005,2021.6,58326,69.44,8313,60786,72.37,605,0.72,99,Community transmission
South Africa,Africa,1521706,2565.74,7747,13.06,638,50803,85.66,726,1.22,125,Community transmission
Ukraine,Europe,1410061,3224.19,52591,120.25,3261,27204,62.2,992,2.27,76,Community transmission
Indonesia,South-East Asia,1386556,506.92,51922,18.98,6894,37547,13.73,1381,0.5,281,Community transmission
Peru,Americas,1371176,4158.63,41371,125.47,6212,47854,145.14,1360,4.12,173,Community transmission
Czechia,Europe,1335815,12473.78,83573,780.4,10524,22147,206.81,1446,13.5,265,Community transmission
